Student_Index,Attorneys and Law Offices,Engineering,Arts and Crafts,Management,Online Advertising,Public Relations,Web Design and Development,Human Resources,Media,Art Dealers and Galleries,State,District,Faculty_Domain,GOT,Employed
U2022_942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEGERI SEMBILAN,SEREMBAN,LAW,Yes,Yes
U2022_943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,KLANG,MANAGEMENT,Yes,Yes
U2022_944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,JOHOR,BATU PAHAT,MANAGEMENT,Yes,Yes
U2022_945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,GOMBAK,LAW,Yes,Yes
U2022_946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,LEDANG,IT,Yes,Yes
U2022_947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,GOMBAK,FCM,No,Yes
U2022_948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PULAU PINANG,SEBERANG PERAI SELATAN,IT,Yes,Yes
U2022_949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,PULAU PINANG,TIMUR LAUT,LAW,No,No_data
U2022_95,0.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,SELANGOR,HULU LANGAT,ENGINEERING,No,Yes
U2022_950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,HULU SELANGOR,IT,Yes,No
U2022_96,0.0,8.0,8.0,0.0,5.0,8.0,0.0,0.0,7.0,0.0,PULAU PINANG,TIMUR LAUT,IT,Yes,Yes
U2022_968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,PETALING,IT,No,Yes
U2022_97,5.0,8.0,6.0,1.0,3.0,8.0,0.0,8.0,0.0,8.0,NEGERI SEMBILAN,JEMPOL,MANAGEMENT,Yes,No
U2022_98,0.0,8.0,6.0,4.0,8.0,8.0,8.0,8.0,0.0,5.0,JOHOR,JOHOR BAHARU,MANAGEMENT,Yes,Yes
U2022_984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,JOHOR BAHARU,MANAGEMENT,Yes,No
U2022_987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,MELAKA,MELAKA TENGAH,MANAGEMENT,Yes,Yes
U2022_988,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,PETALING,IT,Yes,Yes
U2022_989,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,SELANGOR,HULU LANGAT,ENGINEERING,Yes,Yes
U2022_99,8.0,8.0,6.0,5.0,0.0,8.0,8.0,8.0,2.0,6.0,JOHOR,JOHOR BAHARU,MANAGEMENT,,No
U2022_990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEGERI SEMBILAN,SEREMBAN,LAW,Yes,Yes
U2022_991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,JOHOR BAHARU,MANAGEMENT,Yes,Yes
U2022_992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,KLANG,FCM,Yes,Yes
U2022_993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,MELAKA TENGAH,IT,Yes,No
U2022_994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,KUALA LUMPUR,KUALA LUMPUR,IT,No,Yes
U2022_995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,JASIN,MANAGEMENT,Yes,Yes
U2022_996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PAHANG,CAMERON HIGHLANDS,LAW,Yes,Yes
U2022_997,8.0,8.0,0.0,7.0,0.0,8.0,8.0,8.0,3.0,6.0,MELAKA,MELAKA TENGAH,MANAGEMENT,No,Yes
U2022_998,8.0,8.0,7.0,1.0,1.0,6.0,1.0,3.0,1.0,6.0,JOHOR,JOHOR BAHARU,MANAGEMENT,Yes,No
U2022_999,8.0,8.0,6.0,4.0,4.0,8.0,4.0,8.0,4.0,6.0,NEGERI SEMBILAN,SEREMBAN,IT,Yes,Yes
UG1,4.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,SELANGOR,Ulu Langat,MANAGEMENT,No,No
UG10,8.0,8.0,6.0,0.0,0.0,7.0,0.0,7.0,2.0,6.0,JOHOR,Johor Bahru,MANAGEMENT,Yes,Yes
UG100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KEDAH,Kulim,IT,Yes,Yes
UG1000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,MELAKA,Jasin,MANAGEMENT,Yes,No
UG1001,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,PERAK,Kinta,LAW,No,Yes
