Index,Employed,Main_job_Title,Campus,Study_Program,Faculty_domain,Credit_transfer,T1_GPA,T2_GPA,T3_GPA,T4_GPA,T5_GPA,T6_GPA,T7_GPA,T8_GPA,T9_GPA,T10_GPA,T11_GPA,T12_GPA,Sponsor_category,Entry_eligibility,BM_Score,BI_Score,Muet_Score,Matematik,Sejarah,Matematik_Tambahan,Fizik,Kimia,Biologi,PENDIDIKAN_MORAL,Bahasa_Ci,Prinsip_Akaun,Sains,Permanent_address_state,Nationality,Race,Gender,Disability,Status,JS_Job_sector,JS_Job_sub_sector,Super_sector,major_minor
UG19,Yes,N41 Grade Administrative Officer,CYBER,B.B.A. (Hons) (Mgmt. with MM.),MANAGEMENT,Yes,0-1.99,3.00-3.49,3.00-3.49,3.00-3.49,2.00-2.49,2.50-2.99,2.50-2.99,3.00-3.49,2.50-2.99,3.50-4.00,no_data,no_data,Self-sponsored,IPTS,C,D,Band 4,C,C,C,no_data,no_data,no_data,no_data,no_data,no_data,B,SELANGOR,Malaysian,Others Malaysian,Female,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
UG20,Yes,Sales (booth/promoter) Grade K2,MLAKA,B.B.A. (Hons) (Int'l. Bus.),MANAGEMENT,Yes,0-1.99,2.00-2.49,2.00-2.49,2.00-2.49,0-1.99,2.50-2.99,2.50-2.99,2.50-2.99,no_data,3.50-4.00,3.50-4.00,no_data,Loan,IPTS,D,D,Band 3,C,D,D,no_data,no_data,no_data,C,D,D,C,MELAKA,Malaysian,Chinese,Male,No,Single,Sales/Marketing,Marketing/Business Dev,3,0
UG21,Yes,Sales and Marketing Executive,CYBER,B.B.A. (Hons) (Mgmt. with MM.),MANAGEMENT,No,2.00-2.49,0-1.99,2.00-2.49,0-1.99,2.50-2.99,2.50-2.99,2.50-2.99,2.50-2.99,3.00-3.49,3.00-3.49,3.50-4.00,no_data,Loan,IPTS,B,C,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,KUALA LUMPUR,Malaysian,Malay,Male,No,Single,Sales/Marketing,Marketing/Business Dev,3,0
UG22,Yes,Administrative Clerk,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,No,3.00-3.49,3.00-3.49,2.50-2.99,2.50-2.99,2.50-2.99,2.50-2.99,2.50-2.99,no_data,3.50-4.00,3.50-4.00,no_data,no_data,Loan,STPM,C,C,Band 3,A,C,B,no_data,no_data,no_data,A,C,A,A,MELAKA,Malaysian,Chinese,Female,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
UG23,Yes,internet salesperson,CYBER,B.B.A. (Hons) (Mgmt. with MM.),MANAGEMENT,Yes,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,B,D,Band 4,B,B,D,D,D,D,no_data,no_data,D,no_data,KEDAH,Malaysian,Malay,Female,No,Single,Sales/Marketing,Digital Marketing,3,0
UG24,Yes,Administrative Executive,MLAKA,B.B.A. (Hons) (H.R.M.),MANAGEMENT,No,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.50-4.00,3.50-4.00,no_data,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,NEGERI SEMBILAN,Malaysian,Malay,Female,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
UG26,Yes,Customer Service Executive,CYBER,B.Comm.(Strategic Comm) (Hons),FAC,No,2.50-2.99,3.00-3.49,3.00-3.49,3.00-3.49,2.50-2.99,no_data,3.00-3.49,2.00-2.49,3.50-4.00,3.00-3.49,no_data,no_data,Loan,IPTS,A,A,Band 4,B,A,D,no_data,no_data,no_data,no_data,no_data,B,A,MELAKA,Malaysian,Malay,Female,No,Single,Services,Customer Service,3,0
UG27,Yes,Business Data Analyst,CYBER,B.C.S (Hons) Data Science,IT,No,3.00-3.49,3.00-3.49,2.50-2.99,2.00-2.49,3.50-4.00,2.00-2.49,3.00-3.49,no_data,3.00-3.49,no_data,no_data,no_data,Scholarship,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Malay,Female,No,Single,Computer/Information Technology,IT-Software,1,0
UG28,Yes,Clerk of Shipping Goods,MLAKA,B.I.T. (Hons) (Security Tech.),IT,No,3.00-3.49,no_data,2.50-2.99,2.50-2.99,2.50-2.99,3.00-3.49,2.50-2.99,no_data,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Chinese,Female,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
UG32,Yes,Investment Consultant,CYBER,B.Acc. (Hons),MANAGEMENT,Yes,2.50-2.99,2.50-2.99,2.50-2.99,3.00-3.49,2.50-2.99,0-1.99,3.00-3.49,2.00-2.49,2.50-2.99,0-1.99,3.50-4.00,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,PERAK,Malaysian,Malay,Female,No,Single,Accounting/Finance,Corporate Finance/Investment,2,0
UG33,Yes,Content Moderator,MLAKA,B.B.A. (Hons) (Mktg. Mgmt.),MANAGEMENT,Yes,2.50-2.99,3.00-3.49,2.50-2.99,3.00-3.49,3.50-4.00,2.50-2.99,3.00-3.49,no_data,3.50-4.00,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 3,C,A,no_data,no_data,no_data,no_data,no_data,no_data,no_data,A,SELANGOR,Malaysian,Others Malaysian,Female,No,Single,Services,Customer Service,3,0
UG34,Yes,Customer Service Officer,CYBER,B.B.A. (Hons) (Mgmt. with MM.),MANAGEMENT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Others Malaysian,Female,No,Married,Services,Customer Service,3,0
UG37,Yes,"installer, watch",MLAKA,B.B.A. (Hons) (Mktg. Mgmt.),MANAGEMENT,Yes,3.00-3.49,2.50-2.99,3.00-3.49,3.00-3.49,no_data,3.00-3.49,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,A,D,no_data,no_data,no_data,no_data,no_data,C,B,C,MELAKA,Malaysian,Chinese,Female,No,Single,Manufacturing,Manufacturing,5,1
UG38,Yes,Assistant Marketing Officer,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,Yes,2.50-2.99,2.00-2.49,0-1.99,2.50-2.99,no_data,2.50-2.99,2.50-2.99,no_data,3.00-3.49,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,KEDAH,Malaysian,Chinese,Male,No,Single,Sales/Marketing,Marketing/Business Dev,3,0
UG39,Yes,Professional Trainers,MLAKA,B.I.T. (Hons) (A.l.),IT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,MELAKA,Malaysian,Others Malaysian,Male,No,Single,Education/Training,Training & Dev.,4,1
UG40,Yes,Bank Officer Executive,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,No,2.50-2.99,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.00-3.49,3.00-3.49,no_data,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,MELAKA,Malaysian,Chinese,Female,No,Single,Accounting/Finance,Banking/Financial,2,0
UG41,Yes,Purchase Executive,MLAKA,B.B.A. (Hons) (Mktg. Mgmt.),MANAGEMENT,No,3.00-3.49,3.00-3.49,3.50-4.00,3.00-3.49,3.50-4.00,3.00-3.49,3.50-4.00,no_data,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Chinese,Male,No,Single,Sales/Marketing,Marketing/Business Dev,3,0
UG43,Yes,General Trainers,MLAKA,B.I.T. (Hons) (A.l.),IT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,A,A,B,B,B,no_data,no_data,no_data,no_data,no_data,PERAK,Malaysian,Indian,Male,No,Single,Education/Training,Training & Dev.,4,1
UG44,Yes,Auditing Accountants,MLAKA,B.Acc. (Hons),MANAGEMENT,Yes,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,A,B,B,C,C,B,no_data,B,A,no_data,PERAK,Malaysian,Chinese,Male,No,Single,Accounting/Finance,Audit & Taxation,2,0
UG45,Yes,Kindergarten Teacher,MLAKA,B.B.A. (Hons) (H.R.M.),MANAGEMENT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,B,C,no_data,no_data,no_data,no_data,B,B,C,B,NEGERI SEMBILAN,Malaysian,Chinese,Female,No,Single,Education/Training,Education,4,1
UG47,Yes,Assistant Lawyer,MLAKA,L.L.B. (Hons),LAW,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 5,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,MELAKA,Malaysian,Malay,Female,No,Married,Services,Lawyer/Legal Asst,3,0
UG48,Yes,Purchase Executive,MLAKA,B.B.A. (Hons) (Int'l. Bus.),MANAGEMENT,No,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,A,A,A,A,A,A,A,A,no_data,no_data,JOHOR,Malaysian,Chinese,Female,No,Single,Sales/Marketing,Marketing/Business Dev,3,0
UG49,Yes,Mechanical Engineering Technology expert,MLAKA,B.E. (Hons) (Mechanical),ENGINEERING,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Others Malaysian,Male,No,Single,Engineering,Mechanical,4,1
UG51,Yes,Advertising Account Executive,NUSAJ,B. Cine. Arts (Hons),FCA,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Others Malaysian,Male,No,Single,Accounting/Finance,General/Cost Accounting,2,0
UG54,Yes,Managing Director,MLAKA,L.L.B. (Hons),LAW,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Others Malaysian,Female,No,Single,Services,Lawyer/Legal Asst,3,0
UG55,Yes,Account Executive,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,Yes,3.00-3.49,3.00-3.49,2.50-2.99,3.00-3.49,no_data,3.50-4.00,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,C,D,no_data,no_data,no_data,no_data,no_data,C,no_data,B,JOHOR,Malaysian,Chinese,Female,No,Single,Accounting/Finance,General/Cost Accounting,2,0
UG56,Yes,Telecommunications Engineering Technology Technology,MLAKA,B.I.T. (Hons) (A.l.),IT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Indian,Male,No,Single,Computer/Information Technology,IT-Software,1,0
UG57,Yes,Account Clerks Receivable,CYBER,B.Acc. (Hons),MANAGEMENT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,PULAU PINANG,Malaysian,Others Malaysian,Female,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
UG58,Yes,Technicians,MLAKA,B.I.T. (Hons) (Security Tech.),IT,Yes,2.00-2.49,no_data,2.00-2.49,0-1.99,2.00-2.49,2.00-2.49,2.00-2.49,no_data,2.50-2.99,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Hardware,1,0
UG59,Yes,Database Administrator,MLAKA,B.I.T. (Hons) (D.C.N.),IT,No,2.50-2.99,no_data,2.50-2.99,3.00-3.49,2.50-2.99,3.00-3.49,3.00-3.49,no_data,3.00-3.49,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Indian,Female,No,Single,Computer/Information Technology,IT-Network/Sys/DB Admin,1,0
UG61,Yes,Software Engineers,CYBER,B.C.S (Hons) Software Eng.,IT,Yes,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 5,C,B,D,C,D,C,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Software,1,0
UG62,Yes,Technicians,MLAKA,B.I.T. (Hons) (Security Tech.),IT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Hardware,1,0
UG63,Yes,web technicians,CYBER,B.E. (Hons) (Electrical),ENGINEERING,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,A,A,A,A,A,A,no_data,no_data,A,no_data,SELANGOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Software,1,0
UG65,Yes,Electronic Engineering Technology expert,CYBER,B.E. (Hons) (Electrical),ENGINEERING,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,KEDAH,Malaysian,Malay,Male,No,Married,Engineering,Electrical and Electronics,4,1
UG66,Yes,Lawyers,MLAKA,L.L.B. (Hons),LAW,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 5,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Others Malaysian,Female,No,Single,Services,Lawyer/Legal Asst,3,0
UG69,Yes,Assistant Lawyer,MLAKA,L.L.B. (Hons),LAW,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,PULAU PINANG,Malaysian,Indian,Female,No,Single,Services,Lawyer/Legal Asst,3,0
UG70,Yes,Telecommunications Engineering Technology Technology,CYBER,B.C.S (Hons) Software Eng.,IT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Software,1,0
UG73,Yes,Customer Relationship Management Executive (CRM),CYBER,B.E. (Hons) (Electronics-Comp),ENGINEERING,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Scholarship,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SARAWAK,Malaysian,Others Malaysian,Male,No,Single,Services,Customer Service,3,0
UG74,Yes,Operating Engineers,MLAKA,B.I.T. (Hons) (I.T. Mgmt.),IT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,B,A,C,B,B,B,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Indian,Female,No,Married,Engineering,Other Engineering,4,1
UG76,Yes,Computer Communication Analyst,MLAKA,B.I.T. (Hons) (I.T. Mgmt.),IT,No,0-1.99,2.50-2.99,3.00-3.49,3.00-3.49,3.00-3.49,3.50-4.00,0-1.99,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,KUALA LUMPUR,Malaysian,Indian,Female,No,Single,Computer/Information Technology,IT-Software,1,0
UG77,Yes,Engineer Devops,CYBER,B.C.S (Hons) Software Eng.,IT,No,3.50-4.00,3.00-3.49,3.00-3.49,3.00-3.49,3.50-4.00,3.00-3.49,3.00-3.49,3.50-4.00,no_data,no_data,no_data,no_data,Scholarship,IPTS,A,A,Band 5,A,A,A,A,A,B,no_data,no_data,no_data,no_data,KUALA LUMPUR,Malaysian,Malay,Female,No,Single,Computer/Information Technology,IT-Software,1,0
UG78,Yes,Software Engineers,CYBER,B.C.S (Hons) Software Eng.,IT,No,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 4,A,A,A,A,A,A,no_data,no_data,no_data,no_data,TRENGGANU,Malaysian,Malay,Male,No,Single,Computer/Information Technology,IT-Software,1,0
UG79,Yes,Civil lawyer,MLAKA,L.L.B. (Hons),LAW,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,KUALA LUMPUR,Malaysian,Others Malaysian,Female,No,Single,Services,Lawyer/Legal Asst,3,0
UG82,Yes,Accountants,MLAKA,B.Acc. (Hons),MANAGEMENT,Yes,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,A,D,no_data,no_data,no_data,no_data,no_data,no_data,B,B,JOHOR,Malaysian,Indian,Male,No,Single,Accounting/Finance,General/Cost Accounting,2,0
UG84,Yes,Electronic Engineering Technology expert,MLAKA,B.E. (Hons) (Electronics Tele),ENGINEERING,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,MELAKA,Malaysian,Chinese,Female,No,Single,Engineering,Electrical and Electronics,4,1
UG85,Yes,Information Technology System Architects,CYBER,B.C.S (Hons) Data Science,IT,Yes,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Indian,Male,No,Single,Computer/Information Technology,IT-Software,1,0
UG86,Yes,Computer Engineers,CYBER,B.C.S (Hons) Software Eng.,IT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,KEDAH,Malaysian,Indian,Male,No,Married,Computer/Information Technology,IT-Software,1,0
UG88,Yes,Multimedia Lecturer,CYBER,B.Mm. (Hons) (Ani & Vis Efcts),FCM,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Malay,Male,No,Single,Education/Training,Education,4,1
UG89,Yes,Bank Officer Executive,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,No,2.50-2.99,3.00-3.49,3.50-4.00,3.00-3.49,3.00-3.49,no_data,2.50-2.99,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,MELAKA,Malaysian,Chinese,Female,No,Single,Accounting/Finance,Banking/Financial,2,0
UG90,Yes,Process Engineers,MLAKA,B.E. (Hons) (Mechanical),ENGINEERING,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Indian,Male,No,Single,Engineering,Other Engineering,4,1
UG92,Yes,server,CYBER,B.Fin. (Hons),MANAGEMENT,No,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,PERAK,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Software,1,0
UG96,Yes,Professional Trainers,MLAKA,L.L.B. (Hons),LAW,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Indian,Female,No,Single,Services,Lawyer/Legal Asst,4,1
