Index,Employed,Main_job_Title,Campus,Study_Program,Faculty_domain,Credit_transfer,T1_GPA,T2_GPA,T3_GPA,T4_GPA,T5_GPA,T6_GPA,T7_GPA,T8_GPA,T9_GPA,T10_GPA,T11_GPA,T12_GPA,Sponsor_category,Entry_eligibility,BM_Score,BI_Score,Muet_Score,Matematik,Sejarah,Matematik_Tambahan,Fizik,Kimia,Biologi,PENDIDIKAN_MORAL,Bahasa_Ci,Prinsip_Akaun,Sains,Permanent_address_state,Nationality,Race,Gender,Disability,Status,JS_Job_sector,JS_Job_sub_sector,Super_sector,major_minor
UG2,Yes,Marketing Officer,MLAKA,B.E. (Hons) (Mechanical),ENGINEERING,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Chinese,Male,No,Single,Sales/Marketing,Marketing/Business Dev,3,0
UG5,Yes,Engineer Devops,MLAKA,B.I.T. (Hons) (D.C.N.),IT,Yes,2.00-2.49,2.00-2.49,3.00-3.49,2.00-2.49,no_data,3.00-3.49,3.00-3.49,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,B,C,no_data,no_data,no_data,no_data,no_data,no_data,C,B,JOHOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Software,1,0
UG7,Yes,Engineers,MLAKA,B.E. (Hons) (Robo. & Auto.),ENGINEERING,Yes,2.50-2.99,2.00-2.49,0-1.99,2.50-2.99,2.50-2.99,2.00-2.49,2.50-2.99,no_data,2.50-2.99,3.00-3.49,no_data,no_data,Loan,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Chinese,Male,No,Single,Engineering,Other Engineering,4,1
UG8,Yes,Electrical Engineers,MLAKA,B.E. (Hons) (Robo. & Auto.),ENGINEERING,Yes,0-1.99,0-1.99,0-1.99,2.50-2.99,0-1.99,2.00-2.49,2.50-2.99,3.00-3.49,no_data,3.50-4.00,3.00-3.49,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,MELAKA,Malaysian,Chinese,Male,No,Single,Engineering,Electrical and Electronics,4,1
UG10,Yes,Bank Officer Executive,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,A,A,B,A,A,A,A,A,no_data,no_data,JOHOR,Malaysian,Chinese,Male,No,Single,Accounting/Finance,Banking/Financial,2,0
UG13,Yes,Manufacturing Executive,MLAKA,B.B.A. (Hons) (Int'l. Bus.),MANAGEMENT,Yes,3.50-4.00,3.00-3.49,3.00-3.49,no_data,3.00-3.49,3.50-4.00,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,B,C,D,no_data,no_data,no_data,C,C,D,D,NEGERI SEMBILAN,Malaysian,Chinese,Male,No,Single,Manufacturing,Manufacturing,5,1
UG14,Yes,Customer Service Executive,CYBER,B.Fin. (Hons),MANAGEMENT,No,3.00-3.49,3.00-3.49,3.00-3.49,2.00-2.49,2.50-2.99,3.00-3.49,3.50-4.00,3.00-3.49,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,A,C,D,no_data,no_data,no_data,D,D,B,A,NEGERI SEMBILAN,Malaysian,Chinese,Female,No,Single,Services,Customer Service,3,0
UG15,Yes,Administrative and Accounting Clerk,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,Yes,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,no_data,no_data,no_data,Self-sponsored,Diploma,A,B,Band 4,A,A,B,B,B,B,no_data,C,no_data,no_data,JOHOR,Malaysian,Chinese,Female,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
UG16,Yes,Account Clerk,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,No,3.00-3.49,2.50-2.99,2.50-2.99,3.00-3.49,2.50-2.99,2.00-2.49,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,A,C,C,D,D,D,A,B,no_data,no_data,MELAKA,Malaysian,Chinese,Female,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
UG17,Yes,Bank Clerk,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,No,3.00-3.49,2.50-2.99,2.50-2.99,3.00-3.49,2.50-2.99,2.50-2.99,no_data,3.00-3.49,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 3,D,D,no_data,no_data,no_data,no_data,D,C,no_data,D,MELAKA,Malaysian,Chinese,Male,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
