Index,Employed,Main_job_Title,Campus,Study_Program,Faculty_domain,Credit_transfer,T1_GPA,T2_GPA,T3_GPA,T4_GPA,T5_GPA,T6_GPA,T7_GPA,T8_GPA,T9_GPA,T10_GPA,T11_GPA,T12_GPA,Sponsor_category,Entry_eligibility,BM_Score,BI_Score,Muet_Score,Matematik,Sejarah,Matematik_Tambahan,Fizik,Kimia,Biologi,PENDIDIKAN_MORAL,Bahasa_Ci,Prinsip_Akaun,Sains,Permanent_address_state,Nationality,Race,Gender,Disability,Status,JS_Job_sector,JS_Job_sub_sector,Super_sector,major_minor
U2022_1153,Yes,Cash Order Credit Control Specialist (O2C),MLAKA,B.B.K.M. (Hons),MANAGEMENT,No,3.50-4.00,3.00-3.49,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,B,C,Band 4,B,B,no_data,no_data,no_data,no_data,B,B,C,A,MELAKA,Malaysian,Chinese,Female,No,Single,Accounting/Finance,General/Cost Accounting,2,0
U2022_1154,Yes,Author/Creator of Digital Content ,CYBER,B.MM. (Hons) (Adv. Design),FCM,No,3.00-3.49,3.00-3.49,no_data,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,B,B,D,C,C,no_data,no_data,no_data,D,no_data,PUTRAJAYA,Malaysian,Malay,Male,No,Single,Arts/Media/Communications,Arts/Creative Design,4,1
U2022_1156,Yes,Machine Learning Engineer,CYBER,B.E. (Hons) (Electronics-Comp),ENGINEERING,No,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.00-3.49,3.50-4.00,3.50-4.00,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Indian,Male,No,Single,Computer/Information Technology,IT-Software,1,0
U2022_1157,Yes,Marketing Executive,CYBER,B.Comm.(Strategic Comm) (Hons),FAC,Yes,3.50-4.00,3.00-3.49,3.00-3.49,3.50-4.00,3.00-3.49,3.50-4.00,no_data,3.50-4.00,3.00-3.49,no_data,no_data,no_data,Loan,Diploma,B,C,Band 4,D,C,no_data,no_data,no_data,no_data,no_data,no_data,D,C,PERAK,Malaysian,Malay,Female,No,Single,Sales/Marketing,Marketing/Business Dev,3,0
U2022_1158,Yes,Assistant Auditor ,MLAKA,B.Acc. (Hons),MANAGEMENT,Yes,2.00-2.49,2.00-2.49,2.50-2.99,2.00-2.49,3.50-4.00,3.00-3.49,2.50-2.99,no_data,3.50-4.00,3.00-3.49,no_data,no_data,Loan,Diploma,D,D,Band 3,A,C,D,D,D,D,no_data,C,no_data,no_data,NEGERI SEMBILAN,Malaysian,Chinese,Female,No,Single,Accounting/Finance,Audit & Taxation,2,0
U2022_1159,Yes,Computer Expert,MLAKA,B.I.T. (Hons) (Security Tech.),IT,No,2.50-2.99,3.00-3.49,no_data,3.50-4.00,3.50-4.00,no_data,3.00-3.49,3.50-4.00,3.00-3.49,no_data,no_data,no_data,Loan,IPTS,B,A,Band 4,A,A,B,B,C,C,A,A,B,no_data,JOHOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Hardware,1,0
U2022_1160,Yes,Bartender,CYBER,B.MM. (Hons) (Adv. Design),FCM,Yes,2.50-2.99,3.50-4.00,2.50-2.99,2.50-2.99,no_data,3.00-3.49,2.50-2.99,no_data,2.50-2.99,no_data,no_data,no_data,Scholarship,IPTS,C,C,Band 3,C,D,no_data,no_data,no_data,no_data,no_data,no_data,no_data,C,SELANGOR,Malaysian,Malay,Female,No,Single,Hotel/Restaurant,Food/Beverage/Restaurant,5,1
U2022_1161,Yes,Electrical Engineering Technologist,MLAKA,B.E. (Hons) (Robo. & Auto.),ENGINEERING,Yes,3.00-3.49,0-1.99,2.50-2.99,2.00-2.49,2.50-2.99,3.00-3.49,3.00-3.49,3.00-3.49,3.00-3.49,no_data,3.00-3.49,no_data,Loan,Diploma,C,C,Band 3,A,A,A,C,D,no_data,no_data,D,D,no_data,MELAKA,Malaysian,Chinese,Male,No,Single,Engineering,Electrical and Electronics,4,1
U2022_1162,Yes,e-Hailing Drivers,MLAKA,B.E. (Hons) (Mechanical),ENGINEERING,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Indian,Male,No,Single,Others,Others,5,1
U2022_1163,Yes,Human Resource Manager,MLAKA,B.B.A. (Hons) (H.R.M.),MANAGEMENT,Yes,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,no_data,no_data,Loan,Diploma,C,D,Band 4,B,D,no_data,no_data,no_data,no_data,B,no_data,C,B,JOHOR,Malaysian,Indian,Male,No,Single,Admin/Human Resources,Human Resources,3,0
